Tasks,Start Date,Completion,Length,Color
Pre-Kick Off Plan,2025-06-02 08:00:00,2025-10-08 16:00:00,128.33333333340124,Black Outline
Client Onboarding,2025-06-02 08:00:00,2025-07-04 16:00:00,32.33333333340124,Black
Review Existing Case Studies,2025-06-02 08:00:00,2025-06-20 16:00:00,18.333333333401242,Orange
List Initial Target Benefit Ideas,2025-06-23 08:00:00,2025-07-04 16:00:00,11.333333333401242,Orange
Set Up project On MS Cloud,2025-06-02 08:00:00,2025-06-16 16:00:00,14.333333333401242,Orange
Develop Scope,2025-06-02 08:00:00,2025-09-18 16:00:00,108.33333333340124,Black
Preparation,2025-06-02 08:00:00,2025-06-27 16:00:00,25.333333333401242,Grey
Research & Review Client Process,2025-06-02 08:00:00,2025-06-27 16:00:00,25.333333333401242,Orange
Determine most viable sites,2025-06-20 08:00:00,2025-06-26 16:00:00,6.333333333401242,Orange
Determine Use Cases,2025-07-21 08:00:00,2025-08-01 16:00:00,11.333333333401242,Orange
Profit & Loss (P&L),2025-08-04 08:00:00,2025-08-28 16:00:00,24.333333333401242,Grey
P&L - 1st Draft,2025-08-04 08:00:00,2025-08-13 16:00:00,9.333333333401242,Orange
P&L - Review,2025-08-14 08:00:00,2025-08-27 16:00:00,13.333333333401242,Orange
P&L - Value Optimization Analysis,2025-08-28 08:00:00,2025-08-28 16:00:00,0.33333333340124227,Orange
P&L - Finalized,2025-08-28 08:00:00,2025-08-28 16:00:00,0.33333333340124227,Orange
Statement of Work (SOW),2025-08-04 08:00:00,2025-09-03 16:00:00,30.333333333401242,Grey
SOW - 1st Draft,2025-08-04 08:00:00,2025-08-21 16:00:00,17.333333333401242,Orange
SOW - Review Draft with CS,2025-08-22 08:00:00,2025-08-27 16:00:00,5.333333333401242,Orange
SOW - Format & Update Design Elements,2025-08-28 08:00:00,2025-08-29 16:00:00,1.3333333334012423,Orange
SOW - Confirm Indicative IT Architecture,2025-08-28 08:00:00,2025-08-29 16:00:00,1.3333333334012423,Orange
SOW - Finalized,2025-09-01 08:00:00,2025-09-03 16:00:00,2.3333333334012423,Orange
Create DRT,2025-06-20 08:00:00,2025-09-10 16:00:00,82.33333333340124,Grey
DRT - 1st Draft,2025-06-20 08:00:00,2025-06-20 16:00:00,0.33333333340124227,Orange
DRT - Review,2025-09-04 08:00:00,2025-09-08 16:00:00,4.333333333401242,Orange
Develop Data Source System Roadmap,2025-09-09 08:00:00,2025-09-10 16:00:00,1.3333333334012423,Orange
DRT - Finalized,2025-09-09 08:00:00,2025-09-09 16:00:00,0.33333333340124227,Orange
Executive Presentation (EP),2025-08-04 08:00:00,2025-09-18 16:00:00,45.33333333340124,Grey
EP - 1st Draft,2025-08-04 08:00:00,2025-08-11 16:00:00,7.333333333401242,Orange
EP - Review Draft with CS,2025-09-04 08:00:00,2025-09-10 16:00:00,6.333333333401242,Orange
EP - Update Design Elements,2025-09-11 08:00:00,2025-09-11 16:00:00,0.33333333340124227,Orange
EP - Final Draft,2025-09-12 08:00:00,2025-09-18 16:00:00,6.333333333401242,Orange
Initiate Benefit Measurement Workstream,2025-08-07 08:00:00,2025-10-08 16:00:00,62.33333333340124,Black
Arrange briefing call with EPA,2025-08-07 08:00:00,2025-08-07 16:00:00,0.33333333340124227,Orange
Outline rough case studies,2025-09-02 08:00:00,2025-09-10 16:00:00,8.333333333401242,Orange
Begin drafting BCMS using previous examples,2025-09-02 08:00:00,2025-09-04 16:00:00,2.3333333334012423,Orange
Work with Legal team to draft the final BCMs,2025-09-05 08:00:00,2025-09-15 16:00:00,10.333333333401242,Orange
Liaise with Legal to Complete Drafts,2025-09-05 08:00:00,2025-10-08 16:00:00,33.33333333340124,Orange
IT Architecture Discussion,2025-07-31 08:00:00,2025-09-25 16:00:00,56.33333333340124,Black
"Arrange call with Sam Babler, if required",2025-07-31 08:00:00,2025-07-31 16:00:00,0.33333333340124227,Orange
