Tasks,Start Date,Completion,Length,Color
Project Charter Review,2025-01-06 09:00:00,2025-01-07 17:00:00,16,Grey
Requirements Workshop,2025-01-08 09:00:00,2025-01-10 17:00:00,40,Orange
Infrastructure Setup,2025-01-13 09:00:00,2025-01-17 17:00:00,40,Black
API Prototype,2025-01-20 09:00:00,2025-01-24 17:00:00,40,Orange
UI Wireframes,2025-01-21 09:00:00,2025-01-28 17:00:00,56,Orange
Sprint 1 Development,2025-01-29 09:00:00,2025-02-11 17:00:00,88,Black
Sprint 1 QA,2025-02-12 09:00:00,2025-02-18 17:00:00,56,Grey
Sprint 1 Demo,2025-02-19 09:00:00,2025-02-19 12:00:00,3,Orange
Sprint 2 Development,2025-02-20 09:00:00,2025-03-05 17:00:00,88,Black Outline
Sprint 2 QA,2025-03-06 09:00:00,2025-03-12 17:00:00,56,Grey
Go-Live Preparation,2025-03-13 09:00:00,2025-03-21 17:00:00,64,Orange
Launch & Hypercare,2025-03-24 09:00:00,2025-04-04 17:00:00,88,Black
